name,ncpus,bytes/word,COPY,SCALE,ADD,TRIAD,Clock,FP-OP/clock,shared_memory,distributed_memory,Uniprocessor,Other,result_type,obsolete,type,date,link
Convex_C3420,2,4,242.7,238.8,263.7,260.0,50.0,2.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3420,2,8,289.1,273.1,302.7,300.3,50.0,2.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3880,4,8,0.0,1244.6,0.0,0.0,60.0,2.0,Y,N,N,N,S,N,N,1995.10.26,
Convex_C3880,2,8,806.6,845.8,992.5,1101.1,60.0,2.0,Y,N,N,N,S,N,N,1995.10.26,
Convex_C3880,1,8,366.0,368.8,377.3,376.3,60.0,2.0,Y,N,N,N,S,N,N,1995.10.26,
Convex_Exemplar_S,16,8,2096.,2003.,1544.,1869.,180.0,4.0,Y,N,N,N,S,N,N,1996.10.03,
Convex_Exemplar_S,8,8,1700.,1640.,1180.,1479.,180.0,4.0,Y,N,N,N,S,N,N,1996.10.03,
Convex_Exemplar_S,6,8,1472.,1460.,1066.,1234.,180.0,4.0,Y,N,N,N,S,N,N,1996.10.03,
Convex_SPP-1200,8,8,465.4,417.7,468.5,466.6,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,7,8,392.6,384.0,434.8,433.9,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,6,8,354.5,346.1,397.8,395.9,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,5,8,309.2,301.8,350.2,349.8,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,4,8,262.5,267.8,298.1,297.1,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,3,8,207.2,204.6,237.7,235.6,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,2,8,150.2,146.6,179.5,178.9,120.0,2.0,Y,N,N,N,S,N,N,1996.06.03,
Convex_SPP-1200,1,8,78.0,76.2,94.1,90.6,120.0,2.0,Y,N,N,N,S,N,N,1995.11.21,
Convex_SPP-1600,32,8,1777.7,1721.8,2158.8,2164.6,120.0,2.0,N,Y,N,Y,S,N,N,1996.02.28,
Convex_SPP-1600,28,8,1563.4,1524.0,1886.1,1860.2,120.0,2.0,N,Y,N,Y,S,N,N,1996.02.28,
Convex_SPP-1600,24,8,1316.1,1283.6,1599.9,1600.0,120.0,2.0,N,Y,N,Y,S,N,N,1996.02.28,
Convex_SPP-1600,20,8,1100.3,1082.6,1334.8,1322.3,120.0,2.0,N,Y,N,Y,S,N,N,1996.02.28,
Convex_SPP-1600,16,8,878.5,862.2,1068.6,1063.5,120.0,2.0,N,Y,N,Y,S,N,N,1996.02.28,
Convex_SPP-1600,12,8,665.9,658.3,807.5,803.8,120.0,2.0,N,Y,N,Y,S,N,N,1996.02.28,
Convex_SPP-1600,8,8,442.2,437.4,536.8,535.4,120.0,2.0,Y,N,N,N,S,N,N,1996.02.28,
Convex_SPP-1600,4,8,360.9,356.8,455.8,456.1,120.0,2.0,Y,N,N,N,S,N,N,1996.02.28,
Convex_SPP-1600,1,8,123.2,121.2,156.3,156.2,120.0,2.0,Y,N,N,N,S,N,N,1996.02.28,
Cray_C90,16,8,105497.0,104656.0,101736.0,103812.0,240.0,4.0,Y,N,N,N,S,N,N,1991.11.13,1991/0092.html
Cray_C90,8,8,55071.9,55391.8,60843.3,63229.6,240.0,4.0,Y,N,N,N,S,N,N,1991.11.13,1991/0092.html
Cray_C90,4,8,27610.3,27789.6,34633.3,35044.1,240.0,4.0,Y,N,N,N,S,N,N,1991.11.13,1991/0092.html
Cray_C90,2,8,13866.0,13905.5,18233.2,18246.3,240.0,4.0,Y,N,N,N,S,N,N,1991.11.13,1991/0092.html
Cray_C90,1,8,6965.4,6965.4,9378.7,9500.7,240.0,4.0,Y,N,N,N,S,N,N,1991.11.13,1991/0092.html
Cray_CS6400,32,8,824.1,819.6,885.0,882.6,60.0,1.0,Y,N,N,N,S,N,N,1995.02.08,
Cray_CS6400,24,8,761.9,753.7,775.5,774.5,60.0,1.0,Y,N,N,N,S,N,N,1995.02.08,
Cray_CS6400,16,8,611.5,601.0,596.0,594.6,60.0,1.0,Y,N,N,N,S,N,N,1995.02.08,
Cray_CS6400,8,8,347.9,343.4,341.4,342.6,60.0,1.0,Y,N,N,N,S,N,N,1995.02.08,
Cray_CS6400,4,8,188.9,184.3,188.4,188.8,60.0,1.0,Y,N,N,N,S,N,N,1995.02.08,
